n,时间(nm)
1,42
1001,2792
2001,5625
3001,8333
4001,11084
5001,13834
6001,16584
7001,19375
8001,22167
9001,25000
10001,27666
11001,30500
12001,33375
13001,36208
14001,38833
15001,42083
16001,44500
17001,47667
18001,50250
19001,53208
20001,56041
21001,58959
22001,62625
23001,64917
24001,63166
25001,65875
26001,68666
27001,71166
28001,73708
29001,76458
30001,79041
31001,81792
32001,87834
33001,86666
34001,89208
35001,91958
36001,94542
37001,97083
38001,99959
39001,102083
40001,105167
41001,99917
42001,102542
43001,104709
44001,106709
45001,109375
46001,111541
47001,113959
48001,121000
49001,119167
50001,121334
51001,123875
52001,137375
53001,128708
54001,135000
55001,133625
56001,135583
57001,142708
58001,137875
59001,139125
60001,140208
61001,142750
62001,144625
63001,147000
64001,156875
65001,151750
66001,160750
67001,163083
68001,165375
69001,167292
70001,167458
71001,171625
72001,173958
73001,176875
74001,179583
75001,181833
76001,177083
77001,179625
78001,187625
79001,190042
80001,193125
81001,193291
82001,191458
83001,203292
84001,205917
85001,205875
86001,207875
87001,210709
88001,212542
89001,215125
90001,220583
91001,225959
92001,223125
93001,239042
94001,228125
95001,230333
96001,223958
97001,234542
98001,237125
99001,231708
100001,241833
101001,238875
102001,244792
103001,244875
104001,245333
105001,248958
106001,259500
107001,257583
108001,261250
109001,255167
110001,256792
111001,264041
112001,264625
113001,272917
114001,272250
115001,281208
116001,280541
117001,283708
118001,285042
119001,288500
120001,279292
121001,292208
122001,275875
123001,277917
124001,279625
125001,282458
126001,286084
127001,285708
128001,296291
129001,298375
130001,293000
131001,294750
132001,297834
133001,300666
134001,305750
135001,306542
136001,306542
137001,309791
138001,311667
139001,313167
140001,319333
141001,317916
142001,320791
143001,321667
144001,323708
145001,339209
146001,350208
147001,332208
148001,334208
149001,339208
150001,341167
151001,340000
152001,358000
153001,348500
154001,347958
155001,349583
156001,352375
157001,354750
158001,356958
159001,374125
160001,361208
161001,364667
162001,364625
163001,369625
164001,370375
165001,375042
166001,377708
167001,378209
168001,377625
169001,379875
170001,384833
171001,384417
172001,388083
173001,392209
174001,392875
175001,395208
176001,395750
177001,398583
178001,402084
179001,404250
180001,405792
181001,406916
182001,413292
183001,415667
184001,413625
185001,416667
186001,417833
187001,420166
188001,422500
189001,426875
190001,428833
191001,431209
192001,431833
193001,436292
194001,439250
195001,447208
196001,441041
197001,444584
198001,488083
199001,463333
200001,482500
201001,485833
202001,487250
203001,472334
204001,482666
205001,465208
206001,497666
207001,467292
208001,467583
209001,473917
210001,475916
211001,478334
212001,478417
213001,480750
214001,481875
215001,487875
216001,485834
217001,495125
218001,492334
219001,497375
220001,500667
221001,498625
222001,501041
223001,507250
224001,508375
225001,506000
226001,510167
227001,511959
228001,514667
229001,519583
230001,519167
231001,520583
232001,523958
233001,537834
234001,528292
235001,530666
236001,532750
237001,535000
238001,537500
239001,542833
240001,544291
241001,544083
242001,547292
243001,548500
244001,576834
245001,566542
246001,555209
247001,559167
248001,592208
249001,562166
250001,564291
251001,566917
252001,567750
253001,576791
254001,575292
255001,575542
256001,598958
257001,646042
258001,585208
259001,615042
260001,586125
261001,599167
262001,593708
263001,625084
264001,595375
265001,634666
266001,600250
267001,634959
268001,607375
269001,626250
270001,611917
271001,615916
272001,616583
273001,630083
274001,617917
275001,634875
276001,625708
277001,628583
278001,630250
279001,653458
280001,635500
281001,651500
282001,639458
283001,638500
284001,659542
285001,650209
286001,682417
287001,650416
288001,649875
289001,656167
290001,682041
291001,674458
292001,658917
293001,664000
294001,666500
295001,707667
296001,671000
297001,672208
298001,672291
299001,678042
300001,693125
301001,680333
302001,724792
303001,685917
304001,686209
305001,688292
306001,690375
307001,705500
308001,697708
309001,730791
310001,703333
311001,728875
312001,704084
313001,708833
314001,726917
315001,713834
316001,735084
317001,718792
318001,717708
319001,725958
320001,722042
321001,728167
322001,756750
323001,781583
324001,785917
325001,765709
326001,761000
327001,793083
328001,743250
329001,742709
330001,745375
331001,749833
332001,766750
333001,750750
334001,759125
335001,785833
336001,760792
337001,760375
338001,778084
339001,768166
340001,776667
341001,797208
342001,774667
343001,775792
344001,809708
345001,782375
346001,794416
347001,814083
348001,816375
349001,790291
350001,812584
351001,803625
352001,802500
353001,828208
354001,798625
355001,801208
356001,834333
357001,820541
358001,840834
359001,846167
360001,869458
361001,884750
362001,839375
363001,830167
364001,826750
365001,831084
366001,828541
367001,831209
368001,843000
369001,838167
370001,835167
371001,839166
372001,841709
373001,844125
374001,871917
375001,848833
376001,848334
377001,853334
378001,866209
379001,862250
380001,901875
381001,862500
382001,862125
383001,866834
384001,870708
385001,889083
386001,871542
387001,875708
388001,878292
389001,881542
390001,879833
391001,884458
392001,887958
393001,894250
394001,889292
395001,891208
396001,912667
397001,896000
398001,898042
399001,900083
400001,903125
401001,904709
402001,906833
403001,909083
404001,935750
405001,913625
406001,921666
407001,936208
408001,935334
409001,926875
410001,924750
411001,933375
412001,934833
413001,944459
414001,936708
415001,939042
416001,938459
417001,1045583
418001,990750
419001,946959
420001,947667
421001,952708
422001,969375
423001,967791
424001,959834
425001,961625
426001,961167
427001,963167
428001,968791
429001,1016834
430001,969792
431001,975083
432001,978500
433001,979875
434001,995333
435001,1021541
436001,983292
437001,985792
438001,988084
439001,1029542
440001,1030208
441001,999459
442001,1023333
443001,1003292
444001,1003833
445001,1006959
446001,1040875
447001,1054833
448001,1032875
449001,1030083
450001,1053125
451001,1053792
452001,1022209
453001,1036500
454001,1031666
455001,1026792
456001,1088125
457001,1058792
458001,1063708
459001,1050209
460001,1061875
461001,1042459
462001,1044875
463001,1046959
464001,1049333
465001,1048833
466001,1053750
467001,1056167
468001,1055583
469001,1058709
470001,1060500
471001,1062417
472001,1065375
473001,1087958
474001,1072375
475001,1081458
476001,1075959
477001,1076083
478001,1078958
479001,1089250
480001,1082542
481001,1085167
482001,1087375
483001,1092208
484001,1109000
485001,1093666
486001,1099166
487001,1098792
488001,1103500
489001,1106167
490001,1105167
491001,1109167
492001,1112500
493001,1114875
494001,1119291
495001,1116750
496001,1121625
497001,1124208
498001,1126000
499001,1136375
500001,1130667
501001,1132750
502001,1134875
503001,1139625
504001,1198792
505001,1142167
506001,1145042
507001,1153250
508001,1149083
509001,1151125
510001,1153458
511001,1157000
512001,1155333
513001,1158959
514001,1162583
515001,1162000
516001,1168125
517001,1169542
518001,1168208
519001,1173167
520001,1175833
521001,1176708
522001,1178042
523001,1191375
524001,1181958
525001,1191708
526001,1189542
527001,1191375
528001,1193625
529001,1197875
530001,1198083
531001,1200333
532001,1202583
533001,1213500
534001,1207708
535001,1210000
536001,1209500
537001,1216584
538001,1216417
539001,1215584
540001,1221792
541001,1222666
542001,1225583
543001,1227709
544001,1227000
545001,1231833
546001,1236250
547001,1233542
548001,1239000
549001,1245125
550001,1243458
551001,1245625
552001,1248083
553001,1250584
554001,1249417
555001,1254417
556001,1254209
557001,1258792
558001,1261334
559001,1261125
560001,1267500
561001,1268667
562001,1270458
563001,1273209
564001,1274875
565001,1274875
566001,1280042
567001,1285291
568001,1292792
569001,1286709
570001,1288917
571001,1288167
572001,1311792
573001,1303708
574001,1315417
575001,1317583
576001,1300583
577001,1303833
578001,1306667
579001,1305667
580001,1373875
581001,1323833
582001,1315834
583001,1334542
584001,1320083
585001,1322792
586001,1324209
587001,1326916
588001,1333125
589001,1333125
590001,1331000
591001,1338542
592001,1337959
593001,1339958
594001,1341375
595001,1345625
596001,1344250
597001,1381000
598001,1351417
599001,1368833
600001,1356375
601001,1358542
602001,1360666
603001,1363791
604001,1370042
605001,1367041
606001,1386708
607001,1373792
608001,1375375
609001,1377416
610001,1376458
611001,1381583
612001,1383292
613001,1402708
614001,1392750
615001,1389875
616001,1390500
617001,1394125
618001,1394083
619001,1451375
620001,1447459
621001,1452875
622001,1455709
623001,1492334
624001,1458750
625001,1461666
626001,1464291
627001,1463792
628001,1479792
629001,1468125
630001,1470458
631001,1475667
632001,1477667
633001,1480000
634001,1482959
635001,1484583
636001,1498167
637001,1491084
638001,1493875
639001,1495625
640001,1493750
641001,1498875
642001,1500958
643001,1544292
644001,1515625
645001,1505250
646001,1528958
647001,1510667
648001,1513125
649001,1519292
650001,1521542
651001,1526417
652001,1524792
653001,1527208
654001,1527000
655001,1532291
656001,1531125
657001,1536500
658001,1539000
659001,1541625
660001,1543417
661001,1490334
662001,1493500
663001,1559958
664001,1500500
665001,1547209
666001,1523834
667001,1506750
668001,1511208
669001,1508708
670001,1519333
671001,1516208
672001,1515500
673001,1520417
674001,1540084
675001,1525292
676001,1531167
677001,1564917
678001,1529291
679001,1643792
680001,1533584
681001,1550209
682001,1538792
683001,1543333
684001,1545250
685001,1601958
686001,1601292
687001,1607959
688001,1609333
689001,1608125
690001,1613959
691001,1595583
692001,1623625
693001,1563833
694001,1672250
695001,1567291
696001,1640458
697001,1578708
698001,1574125
699001,1579834
700001,1582542
701001,1582583
702001,1595542
703001,1592375
704001,1590750
705001,1589750
706001,1645000
707001,1597875
708001,1599125
709001,1601875
710001,1613541
711001,1606083
712001,1608083
713001,1612667
714001,1624208
715001,1615375
716001,1627167
717001,1617292
718001,1619875
719001,1657333
720001,1635583
721001,1625834
722001,1653750
723001,1630416
724001,1659417
725001,1658833
726001,1641291
727001,1642834
728001,1645917
729001,1651041
730001,1649875
731001,1651542
732001,1654291
733001,1655750
734001,1659000
735001,1677584
736001,1660458
737001,1670334
738001,1761500
739001,1673166
740001,1672625
741001,1675250
742001,1673500
743001,1675833
744001,1678916
745001,1705417
746001,1698791
747001,1711167
748001,1688458
749001,1692917
750001,1695666
751001,1696875
752001,1698333
753001,1700875
754001,1703708
755001,1703000
756001,1711584
757001,1710333
758001,1717375
759001,1726333
760001,1716875
761001,1719916
762001,1719417
763001,1724833
764001,1723917
765001,1725625
766001,1745125
767001,1733042
768001,1736000
769001,1736250
770001,1736084
771001,1739292
772001,1745333
773001,1745292
774001,1798791
775001,1751000
776001,1782458
777001,1757792
778001,1791875
779001,1757250
780001,1783125
781001,1768500
782001,1821250
783001,1769292
784001,1800125
785001,1779625
786001,1897792
787001,1778208
788001,1807667
789001,1808500
790001,1816083
791001,1806167
792001,1803916
793001,1856042
794001,1805333
795001,1852042
796001,1822625
797001,1839833
798001,1864958
799001,1836208
800001,1808875
801001,1809458
802001,1903625
803001,1821292
804001,1833500
805001,1815916
806001,1828000
807001,1852250
808001,1822584
809001,1878667
810001,1829958
811001,1835542
812001,1832000
813001,1840917
814001,1835792
815001,1855750
816001,1869666
817001,1845250
818001,1890167
819001,1867750
820001,1897042
821001,1915542
822001,1854334
823001,1936334
824001,2017541
825001,1945084
826001,1974958
827001,1877042
828001,1969833
829001,1897458
830001,1920667
831001,1936083
832001,1876542
833001,1885334
834001,1929375
835001,1889166
836001,1928375
837001,1929958
838001,1893334
839001,1916625
840001,1894875
841001,1940125
842001,1960833
843001,1904458
844001,1911500
845001,1947083
846001,1941041
847001,1943542
848001,1915750
849001,1932667
850001,1959708
851001,1932791
852001,1923208
853001,1973458
854001,1929417
855001,1931208
856001,1983708
857001,1935875
858001,1950250
859001,1978208
860001,1942208
861001,1957459
862001,2010042
863001,1948666
864001,1967000
865001,2023875
866001,2045375
867001,1967708
868001,2021458
869001,1962208
870001,1968708
871001,2001875
872001,1970209
873001,1971917
874001,2024583
875001,1978208
876001,2015959
877001,2012709
878001,2038291
879001,2008125
880001,2053625
881001,2045500
882001,2040875
883001,2017292
884001,2099750
885001,2107292
886001,2152416
887001,2087042
888001,2144000
889001,2413625
890001,2629958
891001,2166208
892001,2168708
893001,2313541
894001,2166625
895001,2172917
896001,2171125
897001,2120583
898001,2154459
899001,2039750
900001,2137500
901001,2102833
902001,2078167
903001,2065333
904001,2043458
905001,2074709
906001,2136917
907001,2067208
908001,2172125
909001,2050916
910001,2102875
911001,2101125
912001,2058583
913001,2108042
914001,2212000
915001,2145708
916001,2076167
917001,2070916
918001,2104625
919001,2080625
920001,2143667
921001,2086208
922001,2235084
923001,2100375
924001,2086791
925001,2116417
926001,2192125
927001,2106708
928001,2093833
929001,2104125
930001,2105125
931001,2100042
932001,2105958
933001,2137625
934001,2557667
935001,2125833
936001,2207208
937001,2132708
938001,2149917
939001,2186708
940001,2216959
941001,2239375
942001,2219291
943001,2147083
944001,2149875
945001,2167125
946001,2212833
947001,2237708
948001,2259833
949001,2300167
950001,2238250
951001,2176958
952001,2171625
953001,2167958
954001,2154834
955001,2156875
956001,2180542
957001,2207875
958001,2221125
959001,2208750
960001,2178208
961001,2284084
962001,2289625
963001,2288917
964001,2260375
965001,2269875
966001,2216875
967001,2183875
968001,2202709
969001,2187334
970001,2247875
971001,2245708
972001,2197833
973001,2203583
974001,2211917
975001,2208875
976001,2217334
977001,2278666
978001,2243667
979001,2325292
980001,2318916
981001,2353166
982001,2324708
983001,2308250
984001,2319542
985001,2263375
986001,2241625
987001,2232375
988001,2231292
989001,2231542
990001,2262125
991001,2273917
992001,2279833
993001,2294250
994001,2307125
995001,2312042
996001,2277791
997001,2294791
998001,2275208
999001,2253000
